"key","Genres","IMDbRating","IMDbVotes","MovieDirector","MoviePoster","MoviePosterSrc","MovieTitle","ReleasedYear","Runtime","Seeds","URL","UploadedTime","Uploader","YTSLikes"
"","Action / Adventure / Animation / Comedy / Family / Fantasy / Musical / Romance","5.6","27460","Adam Shankman","
            ","https://img.yts.mx/assets/images/movies/disenchanted_2022/medium-cover.jpg","Disenchanted","2022","1hr58min","null","https://yts.mx/movies/disenchanted-2022","November 26, 2022 at 07:09 PM","FREEMAN","77"
"","Action / Comedy / Family / Fantasy / Musical","6.6","51326","Sean Anders","
            ","https://img.yts.mx/assets/images/movies/spirited_2022/medium-cover.jpg","Spirited","2022","2hr7min","100+","https://yts.mx/movies/spirited-2022","November 23, 2022 at 06:42 PM","FREEMAN","90"
"","Horror / Thriller","5.7","1437","Lowell Dean","
            ","https://img.yts.mx/assets/images/movies/die_alone_2024/medium-cover.jpg","Die Alone","2024","1hr30min","100+","https://yts.mx/movies/die-alone-2024","October 19, 2024 at 04:48 AM","FREEMAN","33"
"","Action / Thriller","6.4","114087","Scott Mann","
            ","https://img.yts.mx/assets/images/movies/fall_2022/medium-cover.jpg","Fall","2022","1hr47min","100+","https://yts.mx/movies/fall-2022","October 07, 2022 at 03:56 PM","FREEMAN","189"
"","Action / Drama / Fantasy / Sci-Fi","5.7","57183","Julius Avery","
            ","https://img.yts.mx/assets/images/movies/samaritan_2022/medium-cover.jpg","Samaritan","2022","1hr42min","100+","https://yts.mx/movies/samaritan-2022","August 30, 2022 at 05:08 PM","FREEMAN","175"
"","Action / Crime / Drama / Mystery / Thriller","6.0","16850","Christian Carion","
            ","https://img.yts.mx/assets/images/movies/the_hearts_of_the_down_under_and_the_my_son_2021/medium-cover.jpg","My Son","2021","1hr35min","null","https://yts.mx/movies/my-son-2021","March 06, 2022 at 01:03 AM","FREEMAN","80"
"","Action / Drama / Romance","8.0","78742","Aditya Chopra","
            ","https://img.yts.mx/assets/images/movies/dilwale_dulhania_le_jayenge_1995/medium-cover.jpg","Dilwale Dulhania Le Jayenge","1995 ","3hr10min","null","https://yts.mx/movies/dilwale-dulhania-le-jayenge-1995","May 04, 2022 at 04:20 PM","FREEMAN","68"
"","Action / Thriller","6.6","246331","Paul Greengrass","
            ","https://img.yts.mx/assets/images/movies/jason_bourne_2016/medium-cover.jpg","Jason Bourne","2016","2hr3min","null","https://yts.mx/movies/jason-bourne-2016","August 06, 2023 at 10:05 PM","FREEMAN","562"
"","Action / Crime / Drama","7.6","431448","Francis Ford Coppola","
            ","https://img.yts.mx/assets/images/movies/The_Godfather_Part_III_1990/medium-cover.jpg","The Godfather Part III","1990","2hr42min","100+","https://yts.mx/movies/the-godfather-part-iii-1990","September 10, 2022 at 03:52 AM","OTTO","296"
"","Action / Adventure / Mystery / Thriller","8.0","665365","Paul Greengrass","
            ","https://img.yts.mx/assets/images/movies/The_Bourne_Ultimatum_2007/medium-cover.jpg","The Bourne Ultimatum","2007","1hr55min","null","https://yts.mx/movies/the-bourne-ultimatum-2007","May 17, 2022 at 07:48 AM","OTTO","279"
"","Action / Drama / Romance","5.8","36867","Carrie Cracknell","
            ","https://img.yts.mx/assets/images/movies/persuasion_2022/medium-cover.jpg","Persuasion","2022","1hr49min","null","https://yts.mx/movies/persuasion-2022","December 05, 2022 at 08:33 AM","FREEMAN","35"
"","Action / Drama / Mystery / Thriller","7.1","24686","Oriol Paulo","
            ","https://img.yts.mx/assets/images/movies/gods_crooked_lines_2022/medium-cover.jpg","God's Crooked Lines","2022 ","2hr28min","null","https://yts.mx/movies/gods-crooked-lines-2022","January 09, 2024 at 06:27 AM","FREEMAN","33"
"","Action / Drama / Western","6.6","72697","Jeymes Samuel","
            ","https://img.yts.mx/assets/images/movies/the_harder_they_fall_2021/medium-cover.jpg","The Harder They Fall","2021","2hr19min","null","https://yts.mx/movies/the-harder-they-fall-2021","November 03, 2021 at 02:31 PM","FREEMAN","85"
"","Action / Comedy / Crime / Drama / Horror / Thriller","8.5","1005600","Joon-ho Bong","
            ","https://img.yts.mx/assets/images/movies/parasite_2019/medium-cover.jpg","Parasite","2019 ","2hr12min","100+","https://yts.mx/movies/parasite-2019","March 19, 2020 at 04:51 PM","FREEMAN","646"
"","Action / Animation / Comedy / Fantasy / Sci-Fi","8.5","3197","Chizuru Miyawaki","
            ","https://img.yts.mx/assets/images/movies/gintama_the_final_2021/medium-cover.jpg","Gintama: The Final","2021 ","1hr43min","null","https://yts.mx/movies/gintama-the-final-2021","July 17, 2021 at 05:04 PM","FREEMAN","36"
"","Action / Crime / Drama / Mystery / Thriller","6.5","5716","Uluç Bayraktar","
            ","https://img.yts.mx/assets/images/movies/10_days_of_a_good_man_2023/medium-cover.jpg","10 Days of a Good Man","2023 ","2hr4min","null","https://yts.mx/movies/10-days-of-a-good-man-2023","April 11, 2023 at 03:37 AM","FREEMAN","15"
"","Action / Thriller","3.8","263","Robert Grasmere","
            ","https://img.yts.mx/assets/images/movies/art_of_eight_limbs_2024/medium-cover.jpg","Art of Eight Limbs","2024","1hr45min","null","https://yts.mx/movies/art-of-eight-limbs-2024","August 23, 2024 at 01:27 AM","FREEMAN","16"
"","Action / Adventure / Fantasy / Sci-Fi","6.2","282830","Jaume Collet-Serra","
            ","https://img.yts.mx/assets/images/movies/black_adam_2022/medium-cover.jpg","Black Adam","2022","2hr4min","100+","https://yts.mx/movies/black-adam-2022","November 25, 2022 at 03:06 AM","FREEMAN","456"
"","Action / Comedy / Family","6.7","18913","Clay Kaytis","
            ","https://img.yts.mx/assets/images/movies/a_christmas_story_christmas_2022/medium-cover.jpg","A Christmas Story Christmas","2022","1hr41min","null","https://yts.mx/movies/a-christmas-story-christmas-2022","November 21, 2022 at 03:30 AM","FREEMAN","18"
"","Drama / Thriller","4.9","1261","Kurt Voss","
            ","https://img.yts.mx/assets/images/movies/below_utopia_1997/medium-cover.jpg","Below Utopia","1997","1hr28min","null","https://yts.mx/movies/below-utopia-1997","October 20, 2024 at 12:47 AM","FREEMAN","5"
"","Adventure / Family / Fantasy","6.3","11118","Mary Lambert","
            ","https://img.yts.mx/assets/images/movies/halloweentown_ii_kalabars_revenge_2001/medium-cover.jpg","Halloweentown II: Kalabar's Revenge","2001","1hr20min","null","https://yts.mx/movies/halloweentown-ii-kalabars-revenge-2001","November 27, 2023 at 04:20 AM","FREEMAN","6"
"","Action / Comedy / Drama","6.7","2136","Férid Boughedir","
            ","https://img.yts.mx/assets/images/movies/halfaouine_boy_of_the_terraces_1990/medium-cover.jpg","Halfaouine: Boy of the Terraces","1990 ","1hr39min","null","https://yts.mx/movies/halfaouine-boy-of-the-terraces-1990","August 11, 2022 at 07:22 PM","FREEMAN","30"
"","Action / Crime / Drama / Thriller","6.6","27567","Thomas M. Wright","
            ","https://img.yts.mx/assets/images/movies/the_stranger_2022/medium-cover.jpg","The Stranger","2022","1hr57min","null","https://yts.mx/movies/the-stranger-2022","October 19, 2022 at 11:54 AM","FREEMAN","24"
"","Action / Romance","5.9","3939","Tosca Musk","
            ","https://img.yts.mx/assets/images/movies/gabriels_inferno_2020/medium-cover.jpg","Gabriel's Inferno: Part One","2020","2hr2min","null","https://yts.mx/movies/gabriels-inferno-part-one-2020","May 30, 2020 at 11:45 AM","FREEMAN","44"
"","Action / Drama","7.3","61142","Ang Lee","
            ","https://img.yts.mx/assets/images/movies/the_ice_storm_1997/medium-cover.jpg","The Ice Storm","1997","1hr53min","null","https://yts.mx/movies/the-ice-storm-1997","June 01, 2020 at 02:59 PM","FREEMAN","18"
"","Action / Crime / Drama","8.3","939605","Brian De Palma","
            ","https://img.yts.mx/assets/images/movies/Scarface_1983/medium-cover.jpg","Scarface","1983","2hr50min","null","https://yts.mx/movies/scarface-1983","May 02, 2022 at 04:54 AM","OTTO","401"
"","Action / Biography / Crime / Drama","8.7","1289686","Martin Scorsese","
            ","https://img.yts.mx/assets/images/movies/Goodfellas_1990/medium-cover.jpg","Goodfellas","1990","2hr25min","100+","https://yts.mx/movies/goodfellas-1990","March 12, 2022 at 04:01 PM","OTTO","405"
"","Action / Comedy / Drama / Romance","5.4","1447","Valeria Zunzun","
            ","https://img.yts.mx/assets/images/movies/under_the_amalfi_sun_2022/medium-cover.jpg","Under the Amalfi Sun","2022 ","1hr36min","null","https://yts.mx/movies/under-the-amalfi-sun-2022","July 13, 2022 at 11:11 AM","FREEMAN","7"
